class_name,description
org.argouml.ui.StylePanelFigText,style panel fig text init choices2 set target justification set target font set target size set target style set target text color refresh item state changed font names common sizes styles justifies font label font field size label size field style label style field just label just field text color label text color field serial version u i d 
org.argouml.uml.ui.behavior.state_machines.UMLStateMachineTransitionListModel,u m l state machine transition list model build model list is valid element 
org.argouml.uml.ui.AbstractActionNavigate,abstract action navigate target set target added target removed is enabled action performed set icon navigate to 
org.argouml.uml.ui.foundation.extension_mechanisms.PropPanelTaggedValue$ActionSetTaggedValueType,action set tagged value type action performed 
org.argouml.uml.ui.foundation.core.ActionSetAssociationEndType,action set association end type get instance action performed singleton 
org.argouml.uml.diagram.ui.FigMultiLineText,fig multi line text init figs 
org.argouml.uml.ui.behavior.state_machines.UMLCompositeStateConcurrentCheckBox,u m l composite state concurrent check box build model 
org.argouml.uml.ui.UMLMultiplicityPanel$MultiplicityComboBox,multiplicity combo box target set do on edit this 0 
org.argouml.notation.providers.uml.EnumerationLiteralNotationUml,enumeration literal notation uml parse enumeration literal fig parse enumeration literal get parsing help to string to string parse 
org.argouml.uml.ui.behavior.common_behavior.UMLStimulusSenderListModel,u m l stimulus sender list model build model list is valid element 
org.argouml.profile.Profile,profile add profile dependency add profile dependency set critics get critics get default type strategy get profile packages get formating strategy get figure strategy get loaded packages get profile identifier get dependencies get dependencies i d to string get display name dependencies critics 
org.argouml.uml.diagram.static_structure.ui.SelectionSignal,selection signal get new node get new node type 
org.argouml.kernel.DelayedChangeNotify,delayed change notify run listener pce 
org.argouml.uml.ui.behavior.common_behavior.PropPanelNodeInstance,prop panel node instance serial version u i d 
org.argouml.uml.diagram.ui.FigNameWithAbstract,fig name with abstract get fig font style 
org.argouml.uml.diagram.ui.SPFigEdgeModelElement,s p fig edge model element 
org.argouml.ui.explorer.rules.GoStateMachineToTransition,go state machine to transition get dependencies get rule name get children 
org.argouml.profile.internal.ocl.EvaluateExpression,evaluate expression access 4 access 1 access 3 access 5 access 0 case a if expression case a let expression out a string literal out a real literal out a integer literal out a boolean literal out a enum literal case a feature call case a relational expression tail case a multiplicative expression tail case a feature primary expression out a empty feature call parameters case a list expression list or range tail access 2 run feature call case a logical expression tail case a additive expression tail case a unary unary expression case a postfix expression tail case a feature call parameters case a literal collection case a expression list or range case a standard declarator out a iterate declarator case a actual parameter list as boolean as integer load state save state error not type get value reset reset error log vt val fwd interp 
org.argouml.uml.util.SortedListModel,sorted list model to string add contains get index of is empty size to array to array add all iterator remove clear get size contains all remove all retain all get element at delegate 
org.argouml.ui.explorer.rules.GoOperationToCollaborationDiagram,go operation to collaboration diagram get dependencies get rule name get children 
org.argouml.uml.diagram.activity.ui.ModePlacePartition,mode place partition mouse released machine 
org.argouml.uml.reveng.Setting$PathListSelection,path list selection get default path list set path list get path list default path list path list 
org.argouml.persistence.PersistenceException,persistence exception serial version u i d 
org.argouml.uml.ui.SaveGraphicsManager,save graphics manager fix extension adjust drawing area set default filter get default suffix get settings list set file chooser filters get filter from file name get save action by suffix set default filter by suffix get instance register min margin key default graphics filter key save graphics path key saveall graphics path key graphics resolution default filter other filters instance 
org.argouml.moduleloader.ModuleLoader2$JarFileFilter,jar file filter accept 
org.argouml.uml.reveng.SettingsTypes$UserString,user string get default string get user string set user string 
