Id	Modularity Class
org.argouml.application.api.Predicate	79
org.argouml.uml.diagram.ui.UMLDiagram	80
org.argouml.uml.diagram.ui.PropPanelString	80
org.argouml.uml.diagram.state.ui.ActionCreatePseudostate	81
org.argouml.uml.ui.behavior.use_cases.ActionAddExtendExtensionPoint	81
org.argouml.uml.DocumentationManager	82
org.argouml.uml.ui.ActionSetSourcePath	82
org.argouml.uml.ui.behavior.use_cases.UMLExtensionPointLocationDocument	83
org.argouml.uml.ui.foundation.core.UMLModelElementNameDocument	83
org.argouml.uml.ui.UMLListCellRenderer2	84
org.argouml.uml.ui.UMLSearchableComboBox	84
org.argouml.uml.ui.UMLEditableComboBox	84
org.argouml.uml.diagram.ui.ActionSetPath	85
org.argouml.ui.ArgoStatusBar	85
org.argouml.ui.ZoomSliderButton	86
org.argouml.uml.ui.UMLAddDialog	86
org.argouml.uml.ui.UMLTreeCellRenderer	86
org.argouml.uml.diagram.ui.ActionAddExtensionPoint	87
org.argouml.uml.ui.ActionBooleanTaggedValue	87
org.argouml.uml.ui.UMLDeprecatedCheckBox	87
org.argouml.uml.diagram.ui.ActionAddMessage	87
org.argouml.uml.reveng.ui.ImportStatusScreen	88
org.argouml.uml.reveng.ui.ProblemsDialog	88
org.argouml.uml.generator.TempFileUtils	88
org.argouml.uml.ui.foundation.core.ActionAddEnumerationLiteral	89
org.argouml.ui.cmd.ActionPageSetup	89
org.argouml.ui.cmd.ActionPrint	89
org.argouml.uml.ui.behavior.common_behavior.ActionSetActionAsynchronous	89
org.argouml.uml.ui.ActionDeleteModelElements	89
org.argouml.cognitive.critics.ui.ActionOpenCritics	89
org.argouml.uml.ActionAddStereotype	89
org.argouml.uml.diagram.ui.ActionAddNote	89
org.argouml.uml.diagram.ui.ActionAddStereotype	89
org.argouml.uml.diagram.ui.ActionList	89
org.argouml.uml.diagram.ui.ActionModifierAbstract	89
org.argouml.uml.diagram.ui.ActionModifierActive	89
org.argouml.uml.diagram.ui.ActionModifierLeaf	89
org.argouml.uml.diagram.ui.ActionModifierRoot	89
org.argouml.uml.diagram.ui.ActionVisibilityPackage	89
org.argouml.uml.diagram.ui.ActionVisibilityPrivate	89
org.argouml.uml.diagram.ui.ActionVisibilityProtected	89
org.argouml.uml.diagram.ui.ActionVisibilityPublic	89
org.argouml.uml.ui.AbstractActionNewModelElement	89
org.argouml.uml.ui.foundation.core.ActionAddAttribute	89
org.argouml.uml.ui.foundation.core.ActionAddOperation	89
org.argouml.uml.ui.foundation.extension_mechanisms.ActionNewTagDefinition	89
org.argouml.ui.cmd.ActionNotation	89
org.argouml.uml.ui.AbstractActionNavigate	89
org.argouml.ui.cmd.ActionGotoDiagram	89
org.argouml.cognitive.ui.ActionNewToDoItem	89
org.argouml.cognitive.ui.ActionResolve	89
org.argouml.cognitive.ui.ActionSnooze	89
org.argouml.cognitive.ui.ToDoItemAction	89
org.argouml.ui.cmd.NavigateTargetBackAction	89
org.argouml.ui.cmd.NavigateTargetForwardAction	89
org.argouml.model.DiagramInterchangeFactory	89
org.argouml.cognitive.ui.ActionOpenDecisions	89
org.argouml.cognitive.ui.ActionOpenGoals	89
org.argouml.ui.cmd.ActionFind	89
